time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
1	1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	0	-1e-05	0
5	1e-05	-2e-05	-1e-05	-3e-05	0	-1e-05	0	-1e-05	5
6	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	4
7	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	1
8	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	2
9	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
10	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	2
11	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
12	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
13	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
14	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
15	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
16	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
17	-1e-05	1e-05	2e-05	0	1e-05	-2e-05	-1e-05	1e-05	0
18	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	0
19	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	0
20	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	0
21	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	0
22	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	3
23	-1e-05	-1e-05	-6e-05	-5e-05	-3e-05	-3e-05	-2e-05	-2e-05	0
24	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
25	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
26	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
27	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
28	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
29	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
30	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
31	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
33	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
34	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
35	-3e-05	-1e-05	-4e-05	-1e-05	-1e-05	1e-05	-2e-05	0	0
